time,average_temp,motor_speed,heater_state
366195,155.39,204,1
368196,155.13,206,1
370197,155.07,205,1
372198,156.11,201,1
374199,157.25,199,1
376200,157.36,201,1
378201,157.38,200,1
380203,158.21,199,1
382204,159.14,197,1
384205,159.46,196,1
386206,159.21,196,1
388207,159.39,195,1
390208,161.08,193,1
392209,161.36,193,1
394210,163.18,188,1
396211,164.21,187,1
398212,163.54,188,1
400214,163.96,186,1
402215,164.79,184,1
404216,164.82,186,1
406217,164.54,186,1
408218,164.42,186,1
410219,165.50,184,1
412220,166.21,182,1
414221,167.07,180,1
416222,170.18,173,1
418223,171.71,170,1
420224,173.79,168,1
422225,174.04,166,1
424226,174.92,164,1
426227,175.11,165,1
428228,176.07,164,1
430229,176.04,162,1
432230,176.29,163,1
434231,175.71,163,1
436232,176.46,162,1
438233,177.29,160,1
440235,178.17,158,1
442236,178.71,158,1
444237,179.57,154,1
446238,181.00,153,1
448239,181.82,149,1
450240,183.86,146,1
452241,184.25,146,1
454242,184.89,143,1
456243,186.89,141,1
458244,186.58,255,0
460246,187.71,255,0
462247,186.36,255,0
464248,183.79,255,0
466249,179.61,255,0
468250,174.96,255,0
470251,169.11,255,0
472252,163.29,255,0
474253,158.46,255,0
476254,152.50,255,0
478255,147.07,255,0
480256,141.38,255,0
482257,136.32,255,0
484258,130.71,255,0
486259,125.92,255,0
488260,120.93,255,0
490261,116.79,255,0
492262,112.79,255,0
494263,108.68,255,0
496264,105.04,255,0
498265,101.00,255,0
500267,97.14,255,0
502268,94.04,255,0
504269,90.71,255,0
506270,87.68,255,0
508271,85.12,255,0
510272,82.00,255,0
512273,78.75,255,0
514274,76.58,255,0
516275,74.50,255,0
518276,72.46,255,0
520278,70.42,255,0
522279,68.57,255,0
524280,66.36,255,0
526281,65.08,255,0
528282,63.61,255,0
530283,61.63,255,0
532284,60.46,255,0
534285,58.82,255,0
536286,57.75,255,0
538287,56.46,255,0
540288,55.11,255,0
542289,54.25,255,0
544290,53.54,255,0
546291,52.71,255,0
548292,52.08,255,0
550293,51.11,255,0
552294,50.29,255,0
554295,49.54,255,0
556296,49.04,255,0
558297,48.33,255,0
560299,47.71,255,0
562300,46.96,255,0
564301,46.67,255,0
566302,46.43,255,0
568303,45.86,255,0
570304,45.50,255,0
572305,45.00,255,0
574306,44.57,255,0
576307,44.25,255,0
578308,44.04,255,0
580310,43.50,255,0
582311,43.08,255,0
584312,42.82,255,0
586313,42.54,255,0
588314,42.38,255,0
590315,42.14,255,0
592316,41.88,255,0
594317,41.64,255,0
596318,41.50,255,0
598319,41.38,255,0
600320,41.11,255,0
602321,40.75,255,0
604322,40.42,255,0
606323,40.43,255,0
608324,40.36,255,0
610325,40.38,255,0
612326,40.25,255,0
614327,39.89,255,0
616328,39.67,255,0
618329,39.64,255,0
620331,39.58,255,0
622332,39.25,255,0
624333,39.14,255,0
626334,39.04,255,0
628335,38.93,255,0
630336,38.79,255,0
632337,38.54,255,0
634338,38.54,255,0
636339,38.46,255,0
638340,38.46,255,0
640342,38.25,255,0
642343,37.89,255,0
644344,37.79,255,0
646345,37.68,255,0
648346,37.71,255,0
650347,37.43,255,0
652348,37.61,255,0
654349,37.46,255,0
656350,37.39,255,0
658351,37.18,255,0
660352,37.04,255,0
662353,37.00,255,0
664354,37.00,255,0
666355,36.88,255,0
668356,36.82,255,0
670357,36.79,255,0
672358,36.83,255,0
674359,36.61,255,0
676360,36.75,255,0
678361,36.57,255,0
680363,36.64,255,0
682364,36.46,255,0
684365,36.21,255,0
686366,36.11,255,0
688367,36.21,255,0
690368,36.14,255,0
692369,36.21,255,0
694370,35.88,255,0
696371,35.93,255,0
698372,35.93,255,0
700374,35.96,255,0
702375,35.86,255,0
704376,35.61,255,0
706377,35.75,255,0
708378,35.64,255,0
710379,35.67,255,0
712380,35.61,255,0
714381,35.57,255,0
716382,35.58,255,0
718383,35.43,255,0
720384,35.50,255,0
722385,35.17,255,0
724386,35.39,255,0
726387,35.21,255,0
728388,35.13,255,0
730389,35.25,255,0
732390,35.21,255,0
734391,35.04,255,0
736392,34.89,255,0
738393,34.83,255,0
740395,34.89,255,0
742396,34.86,255,0
744397,34.79,255,0
746398,34.82,255,0
748399,34.54,255,0
750400,34.54,255,0
752401,34.43,255,0
754402,34.61,255,0
756403,34.46,255,0
758404,34.43,255,0
760406,34.61,255,0
762407,34.50,255,0
764408,34.36,255,0
766409,34.29,255,0
768410,34.29,255,0
770411,34.21,255,0
772412,34.33,255,0
774413,34.00,255,0
776414,33.75,255,0
778415,31.67,255,0
780416,30.71,255,0
782417,29.82,255,0
