time,average_temp,motor_speed,heater_state
2001,37.92,255,0
4002,38.43,255,0
6003,38.25,255,0
8004,37.93,255,0
10005,37.93,255,0
12006,37.54,255,0
14007,37.14,255,0
16008,36.68,255,0
18009,36.46,255,0
20011,36.25,255,0
22012,35.89,255,0
24013,35.50,255,0
26014,35.04,255,0
28015,34.86,255,0
30016,34.42,255,0
32017,34.29,255,0
34018,34.11,255,0
36019,33.92,255,0
38020,33.75,255,0
40022,33.46,255,0
42023,33.32,255,0
44024,33.61,255,0
46025,35.46,255,0
48026,35.36,255,0
50027,35.89,255,0
52028,36.71,255,0
54029,36.96,255,1
56030,39.04,255,0
58031,40.38,255,0
60032,40.21,255,0
62033,40.36,255,0
64034,41.50,255,0
66035,42.25,255,0
68036,42.54,255,0
70037,43.54,255,0
72038,44.54,255,1
74039,44.75,255,0
76040,45.93,255,0
78041,46.11,255,0
80043,48.46,255,0
82044,48.79,255,0
84045,48.46,255,0
86046,49.63,255,0
88047,49.96,255,1
90048,50.89,255,0
92049,52.13,255,0
94050,52.21,255,1
96051,53.50,255,0
98052,54.17,255,1
100054,54.79,255,0
102055,55.50,255,1
104056,56.46,255,0
106057,56.82,255,0
108058,57.79,255,1
110059,58.43,255,0
112060,59.11,255,1
114061,60.33,255,0
116062,61.00,255,0
118063,61.32,255,0
120064,62.63,255,0
122065,62.21,255,1
124066,65.11,255,0
126067,65.46,255,0
128068,64.71,255,0
130069,66.54,255,0
132070,66.67,255,1
134071,67.82,255,0
136072,68.83,255,1
138073,69.11,255,0
140075,69.68,255,1
142076,70.29,255,1
144077,71.89,255,0
146078,71.57,255,1
148079,73.21,255,0
150080,73.21,255,1
152081,74.32,255,0
154082,75.00,255,1
156083,75.71,255,0
158084,77.39,255,0
160086,76.79,255,1
162087,78.71,255,0
164088,78.71,255,1
166089,79.33,255,1
168090,80.57,255,0
170091,81.04,255,1
172092,81.71,255,0
174093,82.46,255,1
176094,83.04,255,1
178095,84.18,255,1
180096,85.11,255,0
182097,85.25,255,1
184098,85.54,255,1
186099,87.68,255,0
188100,87.54,255,1
190101,88.71,255,1
192102,89.36,255,1
194103,90.33,255,1
196104,90.75,255,1
198105,91.96,255,1
200107,92.00,255,1
202108,93.39,255,0
204109,93.58,255,1
206110,93.64,255,1
208111,95.71,255,0
210112,96.25,255,1
212113,95.86,255,1
214114,97.82,255,1
216115,98.29,255,1
218116,98.61,255,1
220118,100.11,255,0
222119,100.58,255,0
224120,101.75,255,0
226121,101.71,255,1
228122,103.50,255,1
230123,102.96,255,1
232124,103.92,255,1
234125,105.29,255,0
236126,106.07,255,1
238127,105.83,255,1
240128,107.14,255,1
242129,108.50,255,0
244130,109.21,255,1
246131,108.57,255,1
248132,109.29,255,1
250133,110.83,255,1
252134,112.00,255,1
254135,112.68,255,1
256136,113.08,255,1
258137,114.54,255,0
260139,115.17,255,1
262140,115.39,255,1
264141,116.61,255,1
266142,116.12,255,1
268143,117.86,255,0
270144,118.86,255,1
272145,119.12,255,1
274146,119.36,255,1
276147,120.71,255,0
278148,121.92,255,1
280150,122.25,255,1
282151,122.54,255,1
284152,123.46,255,1
286153,123.64,255,1
288154,124.83,255,1
290155,125.89,255,1
292156,126.64,255,1
294157,127.71,255,1
296158,127.96,255,0
298159,129.54,255,0
300160,130.00,255,1
302161,129.86,254,1
304162,130.36,255,1
306163,130.67,255,1
308164,131.57,251,1
310165,132.57,250,1
312166,133.04,248,1
314167,133.86,245,1
316168,135.00,244,1
318169,135.96,242,1
320171,137.61,239,1
322172,138.46,238,1
324173,139.68,235,0
326174,139.32,237,1
328175,138.96,237,1
330176,139.75,236,1
332177,140.39,234,1
334178,141.96,230,1
336179,142.36,231,1
338180,142.79,230,1
340182,143.88,226,1
342183,144.21,227,1
344184,145.11,224,1
346185,146.13,222,1
348186,146.79,221,1
350187,146.83,222,1
352188,147.25,219,1
354189,148.93,215,1
356190,150.50,213,1
358191,151.89,211,1
360192,152.54,210,1
362193,152.79,209,1
364194,153.75,206,1
